                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.10367,                0.20813,                0.76963,                0.73139,                0.78832,                0.79401,                 0.7917,                0.09806,                0.70696,                0.77558,              0.0002145,              0.0002145,              0.0002145
                     77,                 0.1049,                 0.2129,                0.77312,                0.72817,                0.78128,                0.80269,                0.80105,                0.09339,                 0.6905,                0.77457,             0.00020625,             0.00020625,             0.00020625
                     78,                0.10065,                0.20938,                0.77699,                0.75355,                0.76863,                0.80372,                0.80159,                0.09086,                0.66884,                0.77412,               0.000198,               0.000198,               0.000198
                     79,                0.10146,                0.20678,                0.77444,                0.71345,                0.81064,                0.80795,                0.80621,                0.09116,                0.66713,                 0.7718,             0.00018976,             0.00018976,             0.00018976
                     80,                0.10243,                0.21382,                0.77666,                0.76874,                0.74682,                 0.8069,                0.80526,                 0.0925,                0.66156,                0.77286,             0.00018151,             0.00018151,             0.00018151
                     81,                0.10378,                0.20528,                0.76928,                0.75319,                0.74968,                0.80112,                0.79908,                0.09393,                 0.6795,                0.77253,             0.00017326,             0.00017326,             0.00017326
                     82,                0.09888,                0.21515,                0.77005,                0.76421,                0.76361,                0.81063,                0.80849,                0.09168,                 0.6525,                0.77383,             0.00016502,             0.00016502,             0.00016502
                     83,                 0.0993,                0.20492,                0.77078,                0.74776,                0.80746,                 0.8085,                0.80604,                0.08998,                0.63928,                0.77367,             0.00015677,             0.00015677,             0.00015677
                     84,                0.09505,                0.20064,                0.77007,                0.75714,                0.78476,                0.80228,                0.79965,                0.09284,                0.65219,                0.77459,             0.00014852,             0.00014852,             0.00014852
                     85,                0.09976,                0.19753,                0.76962,                0.79502,                0.75448,                 0.8067,                0.80217,                0.09176,                0.66336,                 0.7741,             0.00014028,             0.00014028,             0.00014028
                     86,                0.09728,                0.19912,                0.76604,                0.78528,                0.78104,                0.79826,                0.79436,                0.09275,                  0.655,                 0.7734,             0.00013203,             0.00013203,             0.00013203
                     87,                0.09738,                0.19793,                0.77319,                0.74856,                0.75842,                0.79036,                 0.7874,                0.08862,                0.68724,                0.77489,             0.00012378,             0.00012378,             0.00012378
                     88,                0.09454,                0.18875,                0.77116,                0.74894,                0.76083,                0.79245,                0.78995,                0.09061,                0.67643,                0.77427,             0.00011554,             0.00011554,             0.00011554
                     89,                 0.0943,                0.18394,                0.77515,                0.76257,                0.74404,                0.79072,                0.78881,                0.09008,                0.65337,                0.77427,             0.00010729,             0.00010729,             0.00010729
                     90,                0.09495,                0.19199,                0.76966,                0.76056,                0.72629,                0.79212,                0.79079,                0.08791,                0.66642,                0.77387,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                0.09291,                0.18328,                0.77376,                0.72864,                0.78583,                0.79838,                0.79637,                0.08621,                0.64922,                 0.7737,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                0.09078,                0.18899,                0.77305,                0.71318,                0.81459,                0.79922,                0.79706,                0.08579,                0.64375,                0.77375,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.09049,                0.18173,                0.76821,                0.71796,                0.81796,                0.80114,                 0.7988,                0.08418,                0.65611,                0.77288,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.09098,                0.17725,                0.77295,                0.68885,                0.83823,                0.80044,                0.79765,                0.08527,                0.67274,                0.77267,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                 0.0892,                0.18136,                0.77248,                0.67753,                0.83042,                0.79758,                0.79484,                0.08518,                0.68311,                0.77269,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.08931,                0.17965,                0.77423,                 0.7466,                0.76249,                 0.7929,                0.79019,                0.08495,                0.67421,                0.77218,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.08411,                0.17517,                0.76953,                 0.7119,                0.82811,                0.79694,                0.79397,                0.08382,                0.65938,                0.77152,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.08768,                0.18074,                0.77109,                0.75719,                0.76136,                0.80092,                0.79838,                0.08369,                0.65716,                0.77158,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.08914,                0.17374,                0.77289,                0.76035,                0.75065,                0.80285,                0.80027,                0.08269,                0.65404,                0.77182,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                0.08755,                0.17609,                0.77137,                0.77801,                0.74178,                0.80044,                0.79789,                 0.0821,                0.65373,                0.77237,             1.6577e-05,             1.6577e-05,             1.6577e-05
